ano,conv_forest,conv_pastizal,conv_agri,conv_asent,conv_otros,incendios,balance
1990,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1991,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1992,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1993,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1994,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1995,-20320.71,47042.36,15149.84,343.29,858,9522.11,52594.9
1996,-20320.71,47042.36,15149.84,343.29,858,8538.21,51610.99
1997,-20320.71,47042.36,15149.84,343.29,858,3743.22,46816.01
1998,-20320.71,47042.36,15149.84,343.29,858,23481.77,66554.55
1999,-20320.71,47042.36,15149.84,343.29,858,7194.58,50267.36
2000,-20320.71,47042.36,15149.84,343.29,858,7277.05,50349.84
2001,-20320.71,47042.36,15149.84,343.29,858,3433.48,46506.26
2002,-32955.74,56646.41,14529.74,1109.95,892.88,6116.65,46339.89
2003,-32955.74,56646.41,14529.74,1109.95,892.88,9389.41,49612.65
2004,-32955.74,56646.41,14529.74,1109.95,892.88,2245.2,42468.44
2005,-32955.74,56646.41,14529.74,1109.95,892.88,7799.65,48022.89
2006,-32955.74,56646.41,14529.74,1109.95,892.88,7171.7,47394.94
2007,-12582.75,28877.56,4425.85,783.93,1306.18,4473.14,27283.92
2008,-12582.75,28877.56,4425.85,783.93,1306.18,6876.66,29687.44
2009,-12582.75,28877.56,4425.85,783.93,1306.18,9158.3,31969.08
2010,-12582.75,28877.56,4425.85,783.93,1306.18,3352.02,26162.8
2011,-12582.75,28877.56,4425.85,783.93,1306.18,32075.06,54885.84
2012,-12582.75,28877.56,4425.85,783.93,1306.18,9066.59,31877.37
